;;;;;;;;;;;;;;;;;;;;;;
PRODUCCIÓN METÁLICA ENERO - OCTUBRE 2022;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
METAL;UNIDAD DE MEDIDA;ETAPA;PROCESO;ESTRATO;TITULAR;UNIDAD;REGIÓN;PROVINCIA;DISTRITO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;ACUM. ENE-DIC
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA MINERA ANTAPACCAY S.A.;ACUMULACION ANTAPACCAY;CUSCO;ESPINAR;ESPINAR; 15,519.0 ; 11,538.2 ; 10,387.4 ; 11,575.9 ; 12,864.0 ; 11,777.7 ; 10,820.0 ; 10,563.3 ; 13,431.5 ; 13,876.9 ; -   ; -   ; 122,354 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA MINERA ARGENTUM S.A.;AMISTAD;JUNÍN;YAULI;MOROCOCHA; 284.7 ; 331.9 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 617 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA MINERA CHUNGAR S.A.C.;ANIMON;PASCO;PASCO;HUAYLLAY; 139.0 ; 132.6 ; 129.8 ; 127.4 ; 122.0 ; 130.3 ; 137.1 ; 145.7 ; 156.5 ; 141.2 ; -   ; -   ; 1,362 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA MINERA CHUNGAR S.A.C.;PLANTA DE BENEFICIO ALPAMARCA;JUNÍN;YAULI;SANTA BARBARA DE CARHUACAYAN; 28.4 ; 25.5 ; 23.4 ; 20.5 ; 19.7 ; 25.0 ; 21.8 ; 17.9 ; 21.2 ; 27.0 ; -   ; -   ; 231 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA MINERA CONDESTABLE S.A.;ACUMULACION CONDESTABLE I;LIMA;CAÑETE;MALA; 1,249.5 ; 1,014.7 ; 1,288.5 ; 1,433.7 ; 1,533.9 ; 1,316.8 ; 1,343.1 ; 1,473.3 ; 1,581.6 ; 1,647.3 ; -   ; -   ; 13,883 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA MINERA KOLPA S.A.;PLANTA DE CONC. HUACHOCOLPA;HUANCAVELICA;HUANCAVELICA;HUACHOCOLPA; 70.1 ; 66.2 ; 82.1 ; 73.8 ; 72.3 ; 82.7 ; 78.3 ; 79.5 ; 80.6 ; 77.6 ; -   ; -   ; 763 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA MINERA LINCUNA S.A.;HUANCAPETI 2009;ÁNCASH;RECUAY;RECUAY; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA MINERA RAURA S.A.;CONCENTRADORA RAURA;HUÁNUCO;LAURICOCHA;SAN MIGUEL DE CAURI; -   ; -   ; -   ; 16.3 ; 19.5 ; 31.6 ; 38.6 ; 46.8 ; 57.9 ; 83.4 ; -   ; -   ; 294 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA MINERA SAN VALENTIN S.A.;MINERA SAN ANTONIO DE SILVER SRL;JUNÍN;HUANCAYO;CHONGOS ALTO; 4.0 ; 4.1 ; 3.5 ; 1.8 ; 2.2 ; 2.9 ; 3.5 ; 2.1 ; 1.4 ; 2.1 ; -   ; -   ; 28 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA MINERA SANTA LUISA S.A.;CONCENTRADORA HUANZALA;ÁNCASH;BOLOGNESI;HUALLANCA; 246.9 ; 194.9 ; 219.4 ; 223.6 ; 275.3 ; 264.9 ; 241.3 ; 224.1 ; 212.2 ; 199.7 ; -   ; -   ; 2,302 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA MINERA SCORPION S.A.;SCORPION;AYACUCHO;PARINACOCHAS;PULLO; -   ; -   ; -   ; 5.2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.;CONCENTRADORA SANTA LUCIA;PUNO;LAMPA;SANTA LUCIA; -   ; 121.1 ; 187.6 ; 63.4 ; 173.4 ; 99.2 ; 51.3 ; 194.8 ; 173.6 ; -   ; -   ; -   ; 1,065 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;EMPRESA ADMINISTRADORA CERRO S.A.C.;PARAGSHA-OCROYOC;PASCO;PASCO;SIMON BOLIVAR; 37.5 ; 62.7 ; 79.6 ; 62.7 ; 85.9 ; 63.5 ; 59.6 ; 92.6 ; 72.1 ; 67.3 ; -   ; -   ; 684 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;EMPRESA MINERA LOS QUENUALES S.A.;ACUMULACION CASAPALCA;LIMA;HUAROCHIRI;CHICLA; 170.2 ; 149.5 ; 122.6 ; 152.2 ; 117.4 ; 175.8 ; 170.4 ; 156.1 ; 203.8 ; 199.9 ; -   ; -   ; 1,618 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;GOLD FIELDS LA CIMA S.A.;CERRO CORONA;CAJAMARCA;HUALGAYOC;HUALGAYOC; 2,288.5 ; 2,018.6 ; 1,852.3 ; 2,128.1 ; 2,826.1 ; 2,751.1 ; 2,346.1 ; 2,190.7 ; 2,110.3 ; 2,316.1 ; -   ; -   ; 22,828 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;HUDBAY PERÚ S.A.C.;CONSTANCIA;CUSCO;CHUMBIVILCAS;VELILLE; 5,819.9 ; 6,624.6 ; 6,721.2 ; 6,820.4 ; 6,307.9 ; 7,751.5 ; 6,186.9 ; 7,876.9 ; 8,238.3 ; 10,561.3 ; -   ; -   ; 72,909 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;MARCOBRE S.A.C.;PLANTA DE OXIDOS Y PLANTA DE SULFUROS;ICA;NASCA;MARCONA; 8,638.7 ; 6,805.0 ; 8,062.4 ; 6,962.6 ; 5,940.0 ; 9,695.6 ; 5,202.8 ; 7,508.1 ; 8,510.2 ; 8,396.3 ; -   ; -   ; 75,722 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;MINERA BATEAS S.A.C.;HUAYLLACHO;AREQUIPA;CAYLLOMA;CAYLLOMA; 145.6 ; 125.1 ; 132.5 ; 114.9 ; 102.5 ; 100.1 ; 118.7 ; 102.0 ; 110.1 ; 90.8 ; -   ; -   ; 1,142 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;MINERA CHINALCO PERÚ S.A.;PROYECTO TOROMOCHO;JUNÍN;YAULI;YAULI; 16,108.0 ; 17,186.4 ; 17,298.3 ; 14,909.2 ; 18,530.9 ; 23,518.4 ; 24,058.8 ; 23,280.8 ; 21,787.4 ; 19,681.9 ; -   ; -   ; 196,360 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;MINERA COLQUISIRI S.A.;COLQUISIRI;LIMA;HUARAL;HUARAL; 463.0 ; 445.2 ; 436.2 ; 467.2 ; 468.4 ; 384.6 ; 459.4 ; 450.0 ; 431.3 ; 425.8 ; -   ; -   ; 4,431 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;MINERA EL PALACIO DEL CONDOR S.A.C.;PALACIO DEL CONDOR;AREQUIPA;CAYLLOMA;CAYLLOMA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;MINERA LAS BAMBAS S.A.;LAS BAMBAS;APURÍMAC;COTABAMBAS;CHALLHUAHUACHO; 26,074.8 ; 18,069.8 ; 24,824.4 ; 15,706.9 ; -   ; 16,336.2 ; 29,289.0 ; 29,138.9 ; 22,299.0 ; 28,774.9 ; -   ; -   ; 210,514 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;MINERA SHOUXIN PERÚ S.A.;PLANTA CONCENTRADORA POLIMETALICA MSP;ICA;NASCA;MARCONA; 1,737.6 ; 1,888.4 ; 2,871.8 ; 2,779.9 ; 2,417.0 ; 3,092.9 ; 2,765.5 ; 3,529.5 ; 3,204.6 ; 4,118.4 ; -   ; -   ; 28,406 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;MINERA TITAN DEL PERÚ S.R.L.;BELEN;AREQUIPA;CARAVELI;CHALA; 33.7 ; 25.1 ; 34.7 ; 35.2 ; 20.6 ; 32.5 ; 35.6 ; 30.4 ; 32.4 ; 38.7 ; -   ; -   ; 319 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;NEXA RESOURCES ATACOCHA S.A.A.;CHICRIN Nº 2;PASCO;PASCO;SAN FRANCISCO DE ASIS DE YARUSYACAN; 18.7 ; 12.6 ; 11.8 ; 25.0 ; 16.0 ; 7.7 ; 22.7 ; 20.0 ; 22.4 ; 28.1 ; -   ; -   ; 185 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;NEXA RESOURCES EL PORVENIR S.A.C.;ACUMULACION AQUILES 101;PASCO;PASCO;SAN FRANCISCO DE ASIS DE YARUSYACAN; 216.5 ; 204.1 ; 207.7 ; 188.5 ; 244.1 ; 211.1 ; 187.1 ; 202.0 ; 193.9 ; 183.3 ; -   ; -   ; 2,038 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;NEXA RESOURCES PERÚ S.A.A.;CERRO LINDO;ICA;CHINCHA;CHAVIN; 2,602.6 ; 2,169.9 ; 2,411.3 ; 3,161.7 ; 3,920.5 ; 2,776.6 ; 2,916.8 ; 2,318.0 ; 2,505.1 ; 2,447.9 ; -   ; -   ; 27,230 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;PAN AMERICAN SILVER HUARON S.A.;CONCENTRADORA FRANCOIS;PASCO;PASCO;HUAYLLAY; 441.7 ; 560.1 ; 486.5 ; 437.7 ; 426.5 ; 506.8 ; 382.5 ; 343.1 ; 324.3 ; 567.0 ; -   ; -   ; 4,476 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;SOCIEDAD MINERA AUSTRIA DUVAZ S.A.C.;UEA AUSTRIA DUVAZ;JUNÍN;YAULI;MOROCOCHA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;SOCIEDAD MINERA CERRO VERDE S.A.A.;PLANTA DE BENEFICIO CERRO VERDE;AREQUIPA;AREQUIPA;YARABAMBA; 34,529.9 ; 31,943.0 ; 34,465.6 ; 34,206.4 ; 34,167.2 ; 33,509.9 ; 33,356.8 ; 30,909.1 ; 38,583.1 ; 34,470.7 ; -   ; -   ; 340,142 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;SOCIEDAD MINERA CORONA S.A.;PLANTA DE BENEFICIO YAURICOCHA CHUMPE;LIMA;YAUYOS;ALIS; 642.6 ; 863.7 ; 718.7 ; 725.5 ; 947.5 ; 902.2 ; 686.4 ; 854.6 ; 305.2 ; 137.0 ; -   ; -   ; 6,783 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;SOCIEDAD MINERA EL BROCAL S.A.A.;HDA. DE BENEF. HUARAUCACA;PASCO;PASCO;TINYAHUARCO; 3,829.4 ; 3,457.2 ; 3,695.6 ; 3,837.8 ; 3,760.4 ; 3,788.2 ; 3,500.4 ; 4,101.4 ; 4,841.8 ; 4,738.5 ; -   ; -   ; 39,551 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;SOUTHERN PERÚ COPPER CORPORATION SUCURSAL DEL PERÚ;CONC. DE BOTIFLACA;MOQUEGUA;MARISCAL NIETO;TORATA; 13,047.5 ; 11,441.9 ; -   ; 3,468.5 ; 14,160.5 ; 13,516.1 ; 13,965.5 ; 13,815.2 ; 14,274.2 ; 14,405.8 ; -   ; -   ; 112,095 
